frame_name;actor;gender;p1;p2;p3;p4
DeadpoolWolverine-91457.jpeg;Hugh_Jackman;M;0;676;260;409
DontLookUp-103234.jpeg;Rob_Morgan;M;77;655;263;469
DontLookUp-105954.jpeg;Meryl_Streep;F;63;705;384;384
DontLookUp-107374.jpeg;Leonardo_DiCaprio;M;104;700;211;593
DontLookUp-121779.jpeg;Meryl_Streep;F;118;513;341;291
DontLookUp-122417.jpeg;Meryl_Streep;F;19;563;242;340
DontLookUp-129435.jpeg;Cate_Blanchett;F;68;700;175;593
DontLookUp-130696.jpeg;Leonardo_DiCaprio;M;43;538;266;315
DontLookUp-133793.jpeg;Leonardo_DiCaprio;M;40;759;428;297
DontLookUp-153834.jpeg;Rob_Morgan;M;19;588;242;365
DontLookUp-168076.jpeg;Meryl_Streep;F;118;799;304;613
DontLookUp-26738.jpeg;Meryl_Streep;F;63;768;138;693
DontLookUp-28831.jpeg;Leonardo_DiCaprio;M;98;572;284;386
DontLookUp-28935.jpeg;Meryl_Streep;F;80;652;155;577
DontLookUp-29895.jpeg;Meryl_Streep;F;72;718;146;643
DontLookUp-31058.jpeg;Meryl_Streep;F;24;683;153;554
DontLookUp-31385.jpeg;Meryl_Streep;F;63;660;138;585
DontLookUp-33587.jpeg;Meryl_Streep;F;116;484;206;394
DontLookUp-40953.jpeg;Leonardo_DiCaprio;M;47;631;202;476
DontLookUp-41183.jpeg;Leonardo_DiCaprio;M;116;597;270;442
DontLookUp-53651.jpeg;Leonardo_DiCaprio;M;56;330;163;223
DontLookUp-54560.jpeg;Rob_Morgan;M;86;544;176;454
DontLookUp-55492.jpeg;Rob_Morgan;M;66;643;156;554
DontLookUp-61890.jpeg;Leonardo_DiCaprio;M;80;700;187;593
DontLookUp-62696.jpeg;Leonardo_DiCaprio;M;47;648;202;494
DontLookUp-63364.jpeg;Leonardo_DiCaprio;M;140;736;247;629
DontLookUp-71875.jpeg;Meryl_Streep;F;98;631;253;476
DontLookUp-77642.jpeg;Meryl_Streep;F;96;414;186;325
DontLookUp-80326.jpeg;Leonardo_DiCaprio;M;57;593;242;407
DontLookUp-88546.jpeg;Rob_Morgan;M;77;613;263;428
DontLookUp-90423.jpeg;Leonardo_DiCaprio;M;82;795;350;527
DontLookUp-92783.jpeg;Rob_Morgan;M;76;434;166;344
DontLookUp-94098.jpeg;Rob_Morgan;M;68;266;291;43
DontLookUp-95370.jpeg;Rob_Morgan;M;86;494;176;404
F1-130945.jpeg;Kerry_Condon;F;82;397;211;268
F1-132366.jpeg;Kerry_Condon;F;64;390;219;236
F1-133560.jpeg;Kerry_Condon;F;86;335;176;245
F1-16558.jpeg;Brad_Pitt;M;98;696;284;510
F1-36470.jpeg;Kerry_Condon;F;82;569;211;440
FiftyShadesofGrey-109277.jpeg;Jamie_Dornan;M;56;563;146;474
FiftyShadesofGrey-111782.jpeg;Jamie_Dornan;M;68;270;175;163
FiftyShadesofGrey-114174.jpeg;Dakota_Johnson;F;56;534;146;444
FiftyShadesofGrey-129104.jpeg;Jamie_Dornan;M;0;646;260;379
FiftyShadesofGrey-129842.jpeg;Jamie_Dornan;M;23;587;290;319
FiftyShadesofGrey-133899.jpeg;Dakota_Johnson;F;67;483;196;354
FiftyShadesofGrey-134239.jpeg;Dakota_Johnson;F;81;476;236;322
FiftyShadesofGrey-13739.jpeg;Dakota_Johnson;F;23;498;290;230
FiftyShadesofGrey-137949.jpeg;Jamie_Dornan;M;81;373;236;218
FiftyShadesofGrey-138194.jpeg;Jamie_Dornan;M;81;356;236;201
FiftyShadesofGrey-138489.jpeg;Jamie_Dornan;M;43;414;266;191
FiftyShadesofGrey-139162.jpeg;Jamie_Dornan;M;43;439;266;216
FiftyShadesofGrey-145581.jpeg;Jamie_Dornan;M;98;531;284;345
FiftyShadesofGrey-147128.jpeg;Jamie_Dornan;M;0;646;260;379
FiftyShadesofGrey-147393.jpeg;Jamie_Dornan;M;23;646;290;379
FiftyShadesofGrey-168064.jpeg;Jamie_Dornan;M;125;540;254;411
FiftyShadesofGrey-168414.jpeg;Jamie_Dornan;M;139;554;268;425
FiftyShadesofGrey-186462.jpeg;Dakota_Johnson;F;96;554;225;425
FiftyShadesofGrey-190649.jpeg;Dakota_Johnson;F;98;494;253;339
FiftyShadesofGrey-200869.jpeg;Jamie_Dornan;M;43;637;266;414
FiftyShadesofGrey-201417.jpeg;Dakota_Johnson;F;77;469;263;283
FiftyShadesofGrey-211981.jpeg;Dakota_Johnson;F;77;489;263;304
FiftyShadesofGrey-233857.jpeg;Jamie_Dornan;M;68;613;291;390
FiftyShadesofGrey-239260.jpeg;Dakota_Johnson;F;67;583;196;454
FiftyShadesofGrey-26441.jpeg;Jamie_Dornan;M;77;572;263;386
FiftyShadesofGrey-267721.jpeg;Jamie_Dornan;M;73;508;135;446
FiftyShadesofGrey-273349.jpeg;Dakota_Johnson;F;68;617;175;509
FiftyShadesofGrey-273867.jpeg;Jamie_Dornan;M;118;448;304;262
FiftyShadesofGrey-274580.jpeg;Dakota_Johnson;F;80;641;187;533
FiftyShadesofGrey-29507.jpeg;Jamie_Dornan;M;68;588;291;365
FiftyShadesofGrey-31309.jpeg;Jamie_Dornan;M;68;588;291;365
FiftyShadesofGrey-328474.jpeg;Dakota_Johnson;F;110;683;239;554
FiftyShadesofGrey-33363.jpeg;Jamie_Dornan;M;68;588;291;365
FiftyShadesofGrey-353477.jpeg;Dakota_Johnson;F;81;304;236;150
FiftyShadesofGrey-361062.jpeg;Dakota_Johnson;F;82;640;211;511
FiftyShadesofGrey-361940.jpeg;Dakota_Johnson;F;96;640;225;511
FiftyShadesofGrey-362431.jpeg;Jamie_Dornan;M;67;554;196;425
FiftyShadesofGrey-364400.jpeg;Dakota_Johnson;F;57;448;242;262
FiftyShadesofGrey-365977.jpeg;Jamie_Dornan;M;57;593;242;407
FiftyShadesofGrey-372093.jpeg;Jamie_Dornan;M;0;799;180;613
FiftyShadesofGrey-374232.jpeg;Dakota_Johnson;F;43;489;266;266
FiftyShadesofGrey-374713.jpeg;Dakota_Johnson;F;43;613;266;390
FiftyShadesofGrey-379795.jpeg;Dakota_Johnson;F;36;428;222;242
