frame_name;position;guessed_gender;;;
50_50 (2011)-111039.jpeg;[199.85501  95.13831 312.18024 271.90936];M;;;
50_50 (2011)-111039.jpeg;[431.37183   21.055275 579.20184  251.86885 ];M;;;
50_50 (2011)-111110.jpeg;[157.60425 110.50721 268.31915 278.92145];M;;;
50_50 (2011)-111110.jpeg;[352.9441    25.356201 500.0459   258.48004 ];M;;;
50_50 (2011)-111185.jpeg;[351.1995   73.84972 473.9876  237.4893 ];M;;;
50_50 (2011)-111220.jpeg;[116.07219   68.310745 238.59615  252.56155 ];M;;;
50_50 (2011)-111528.jpeg;[111.39558   25.282387 276.12354  256.7965  ];M;;;
50_50 (2011)-111706.jpeg;[491.55545 117.97961 579.00214 261.92975];M;;;
50_50 (2011)-111816.jpeg;[333.17093   62.359573 429.37924  211.62717 ];M;;;
50_50 (2011)-112166.jpeg;[167.073    49.65023 279.98672 185.78961];M;;;
50_50 (2011)-112166.jpeg;[405.94342  -33.693146 611.95355  292.4785  ];M;;;
50_50 (2011)-112251.jpeg;[135.87495   20.562485 291.21906  290.1286  ];M;;;
50_50 (2011)-112343.jpeg;[238.39476   45.324455 350.98495  188.46799 ];M;;;
50_50 (2011)-112343.jpeg;[415.15588  -24.234634 611.47253  258.48373 ];F;;;
50_50 (2011)-112426.jpeg;[404.90097 190.66237 495.67157 312.00482];M;;;
50_50 (2011)-112589.jpeg;[ 74.260475  34.80066  230.54184  217.93196 ];M;;;
50_50 (2011)-112661.jpeg;[447.7055   83.25381 547.6305  236.0998 ];M;;;
50_50 (2011)-112730.jpeg;[3.7983139e+02 3.2089233e-01 5.6733813e+02 3.0265262e+02];M;;;
50_50 (2011)-112895.jpeg;[374.17374 101.12085 460.00745 212.94089];M;;;
50_50 (2011)-113040.jpeg;[247.7907    60.900665 306.54083  145.56499 ];F;;;
50_50 (2011)-113167.jpeg;[314.88068  33.98192 504.92865 320.92224];M;;;
50_50 (2011)-113405.jpeg;[187.43233  71.01342 286.17664 211.51372];F;;;
50_50 (2011)-113579.jpeg;[311.16583  69.37655 420.19827 240.22   ];M;;;
50_50 (2011)-113829.jpeg;[327.74838  53.01886 450.19446 237.89429];M;;;
50_50 (2011)-114177.jpeg;[228.28418  67.79884 347.4068  226.02536];F;;;
50_50 (2011)-114387.jpeg;[315.17386  77.95668 447.80997 264.886  ];M;;;
50_50 (2011)-114522.jpeg;[244.61057   87.526245 373.57498  256.23047 ];F;;;
50_50 (2011)-114674.jpeg;[262.88345 100.20872 385.7876  263.90234];F;;;
50_50 (2011)-114796.jpeg;[313.89355   95.251564 435.27435  277.69113 ];M;;;
50_50 (2011)-114892.jpeg;[149.63782  69.77223 336.4888  321.5552 ];F;;;
50_50 (2011)-115142.jpeg;[199.6501   72.85464 384.18076 315.79562];F;;;
50_50 (2011)-115316.jpeg;[204.58138  66.34467 405.33777 317.3404 ];F;;;
50_50 (2011)-115421.jpeg;[313.2336   41.10585 475.45966 258.20813];M;;;
50_50 (2011)-115517.jpeg;[214.6806   91.20907 327.28497 242.12296];F;;;
50_50 (2011)-115662.jpeg;[195.91054  65.05912 296.20163 208.19348];F;;;
50_50 (2011)-115716.jpeg;[287.15482  55.07756 491.78458 338.0292 ];M;;;
50_50 (2011)-11577.jpeg;[152.63377 187.93884 162.11867 201.50531];M;;;
50_50 (2011)-11577.jpeg;[381.83945 235.71112 387.00845 242.18275];M;;;
50_50 (2011)-115933.jpeg;[206.40343   57.675434 263.95508  129.90273 ];M;;;
50_50 (2011)-115933.jpeg;[377.4237   84.75185 433.55524 158.56943];M;;;
50_50 (2011)-116183.jpeg;[426.94894 104.06666 500.1897  213.26616];F;;;
50_50 (2011)-11675.jpeg;[294.069     85.463554 358.97842  168.707   ];M;;;
50_50 (2011)-116782.jpeg;[251.51514  40.77392 391.96088 219.02803];M;;;
50_50 (2011)-116990.jpeg;[155.79083 123.32584 313.53616 319.06345];M;;;
50_50 (2011)-117099.jpeg;[193.62628  34.84043 420.6759  295.252  ];M;;;
50_50 (2011)-117604.jpeg;[335.39777  60.99337 410.2825  159.95103];M;;;
50_50 (2011)-118074.jpeg;[379.77954   35.930252 548.8682   249.01619 ];M;;;
50_50 (2011)-118145.jpeg;[420.44446  48.23855 609.2271  275.88254];M;;;
50_50 (2011)-118207.jpeg;[393.49167    4.928108 565.8924   231.27707 ];M;;;
50_50 (2011)-118510.jpeg;[170.28214 134.54259 187.45078 155.33243];M;;;
50_50 (2011)-1186.jpeg;[216.23755  -54.37819  304.10687  112.305786];M;;;
50_50 (2011)-119135.jpeg;[213.59953 134.74452 246.96979 172.36418];M;;;
50_50 (2011)-11925.jpeg;[264.09857   40.726658 325.91064  134.24464 ];M;;;
50_50 (2011)-119854.jpeg;[344.92224   76.180145 434.8761   276.82623 ];F;;;
50_50 (2011)-11993.jpeg;[244.51651  47.39502 312.23724 143.78271];M;;;
50_50 (2011)-120103.jpeg;[ 42.649185 -17.08471  227.26604  229.81151 ];M;;;
50_50 (2011)-120414.jpeg;[373.14423  78.687   466.4491  190.32779];M;;;
50_50 (2011)-120480.jpeg;[ 87.05149   62.884636 175.6876   184.46739 ];M;;;
50_50 (2011)-120560.jpeg;[204.0651   62.90644 360.34122 250.2415 ];M;;;
50_50 (2011)-120560.jpeg;[451.47443   13.173035 586.9311   292.90448 ];M;;;
50_50 (2011)-12068.jpeg;[267.82803  82.96428 401.4074  268.62866];M;;;
50_50 (2011)-120827.jpeg;[163.04527  87.70939 254.70018 235.58513];M;;;
50_50 (2011)-120918.jpeg;[325.5797    42.651863 473.367    252.73676 ];M;;;
50_50 (2011)-120918.jpeg;[111.41192   57.944565 257.75323  285.23376 ];M;;;
50_50 (2011)-121196.jpeg;[317.55524  65.77503 463.42435 266.22894];M;;;
50_50 (2011)-121196.jpeg;[ 66.21805   46.637985 238.91002  329.85364 ];M;;;
50_50 (2011)-121235.jpeg;[426.87823 131.73444 467.67673 185.86192];F;;;
50_50 (2011)-121354.jpeg;[ 92.422455  55.489777 223.69023  241.74478 ];M;;;
50_50 (2011)-121711.jpeg;[317.39767 114.87376 336.088   144.40785];M;;;
